OldName,ID,name,Read,Experiment,Mode,NewName
21129_87_S112_L999_R1_001_cutadapt.fastq,21129,87,R1,,,T1_3346_87_CTL_CW_M_G6_21129.fq
21109_88_S92_L999_R1_001_cutadapt.fastq,21109,88,R1,,,T2_3346_88_CTL_CW_M_G5_21109.fq
21049_89_S32_L999_R1_001_cutadapt.fastq,21049,89,R1,,,T3_3346_89_CTL_CW_M_G2_21049.fq
21088_90_S71_L999_R1_001_cutadapt.fastq,21088,90,R1,,,T4_3346_90_CTL_CW_M_G4_21088.fq
21149_91_S132_L999_R1_001_cutadapt.fastq,21149,91,R1,,,T5_3346_91_CTL_CW_M_G7_21149.fq
21110_92_S93_L999_R1_001_cutadapt.fastq,21110,92,R1,,,T6_3346_92_CTL_CW_M_G5_21110.fq
21050_93_S33_L999_R1_001_cutadapt.fastq,21050,93,R1,,,T7_3346_93_CTL_CW_M_G2_21050.fq
21070_94_S53_L999_R1_001_cutadapt.fastq,21070,94,R1,,,T8_3346_94_CTL_CW_M_G3_21070.fq
21150_95_S133_L999_R1_001_cutadapt.fastq,21150,95,R1,,,T9_3346_95_CTL_CW_M_G7_21150.fq
21028_96_S11_L999_R1_001_cutadapt.fastq,21028,96,R1,,,T10_3346_96_CTL_CW_M_G1_21028.fq
21051_97_S34_L999_R1_001_cutadapt.fastq,21051,97,R1,,,T0_3349_97_CTL_CW_F_G2_21051.fq
21071_98_S54_L999_R1_001_cutadapt.fastq,21071,98,R1,,,T1_3349_98_CTL_CW_F_G3_21071.fq
21089_99_S72_L999_R1_001_cutadapt.fastq,21089,99,R1,,,T2_3349_99_CTL_CW_F_G4_21089.fq
21031_100_S14_L999_R1_001_cutadapt.fastq,21031,100,R1,,,T3_3349_100_CTL_CW_F_G1_21031.fq
21151_101_S134_L999_R1_001_cutadapt.fastq,21151,101,R1,,,T4_3349_101_CTL_CW_F_G7_21151.fq
21072_102_S55_L999_R1_001_cutadapt.fastq,21072,102,R1,,,T5_3349_102_CTL_CW_F_G3_21072.fq
21090_103_S73_L999_R1_001_cutadapt.fastq,21090,103,R1,,,T6_3349_103_CTL_CW_F_G4_21090.fq
21111_104_S94_L999_R1_001_cutadapt.fastq,21111,104,R1,,,T7_3349_104_CTL_CW_F_G5_21111.fq
21052_105_S35_L999_R1_001_cutadapt.fastq,21052,105,R1,,,T8_3349_105_CTL_CW_F_G2_21052.fq
21130_106_S113_L999_R1_001_cutadapt.fastq,21130,106,R1,,,T9_3349_106_CTL_CW_F_G6_21130.fq
21131_107_S114_L999_R1_001_cutadapt.fastq,21131,107,R1,,,T10_3349_107_CTL_CW_F_G6_21131.fq
21091_108_S74_L999_R1_001_cutadapt.fastq,21091,108,R1,,,T0_3334_108_CM_CHW_M_G4_21091.fq
21132_109_S115_L999_R1_001_cutadapt.fastq,21132,109,R1,,,T1_3334_109_CM_CHW_M_G6_21132.fq
21073_111_S56_L999_R1_001_cutadapt.fastq,21073,111,R1,,,T3_3334_111_CM_CHW_M_G3_21073.fq
21053_112_S36_L999_R1_001_cutadapt.fastq,21053,112,R1,,,T4_3334_112_CM_CHW_M_G2_21053.fq
21092_113_S75_L999_R1_001_cutadapt.fastq,21092,113,R1,,,T5_3334_113_CM_CHW_M_G4_21092.fq
21112_114_S95_L999_R1_001_cutadapt.fastq,21112,114,R1,,,T6_3335_114_CTL_HW_M_G2_21112.fq
21133_115_S116_L999_R1_001_cutadapt.fastq,21133,115,R1,,,T7_3335_115_CTL_HW_M_G6_21133.fq
21074_116_S57_L999_R1_001_cutadapt.fastq,21074,116,R1,,,T8_3335_116_CTL_HW_M_G3_21074.fq
21153_117_S135_L999_R1_001_cutadapt.fastq,21153,117,R1,,,T9_3335_117_CTL_HW_M_G7_21153.fq
21032_118_S15_L999_R1_001_cutadapt.fastq,21032,118,R1,,,T10_3335_118_CTL_HW_M_G1_21032.fq
21113_119_S96_L999_R1_001_cutadapt.fastq,21113,119,R1,,,T0_3340_119_CTL_HW_M_G5_21113.fq
21033_120_S16_L999_R1_001_cutadapt.fastq,21033,120,R1,,,T1_3340_120_CTL_HW_M_G1_21033.fq
21134_121_S117_L999_R1_001_cutadapt.fastq,21134,121,R1,,,T2_3340_121_CTL_HW_M_G6_21134.fq
