gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
Mllt1,0.13,0.064,0.033,0.125,0.128,0.072,0.084,0.07,0.043,0.077,0.049,0.082,0.044,0
Mllt10,0.409,0.318,0.793,0.691,0.657,0.353,0.647,0.51,0.327,0.318,0.201,0.637,0.157,0.533
Mllt11,0.04,0.286,0.113,0.112,0.05,0.134,0.115,0.157,0.065,0.221,0.052,0.259,0.216,0.365
Mllt3,0.082,0.099,0.12,0.236,0.103,0.096,0.12,0.173,0.109,0.114,0.045,0.23,0.068,0
Mllt4,0.386,0.154,2.093,1.082,0.627,0.251,0.25,0.236,0.199,0.22,0.158,0.014,0.184,0
Mllt6,0.185,0.182,0.52,0.292,0.299,0.191,0.283,0.243,0.13,0.155,0.101,0.427,0.16,0.084
Mlph,0.015,0.021,0,0.001,0.001,0.024,0.063,0.011,0,0.02,0.003,0.023,0,0
Mlst8,0.101,0.053,0.077,0.066,0.048,0.044,0.075,0.048,0.022,0.044,0.028,0.04,0.112,0
Mlx,0.405,0.169,0.249,0.313,0.218,0.204,0.231,0.232,0.201,0.274,0.185,0.295,0.203,0.315
Mlxip,0.077,0.134,0.159,0.196,0.572,0.084,0.252,0.151,0.043,0.1,0.069,0.09,0.035,1.046
Mlxipl,0,0.012,0,0.002,0.001,0.006,0.027,0.001,0.095,0.003,0.001,0,0,0
Mlycd,0.109,0.121,0.149,0.178,0.174,0.162,0.193,0.158,0.056,0.165,0.107,0.182,0.284,0.147
Mmaa,0.014,0.082,0.156,0.093,0.05,0.109,0.074,0.046,0.082,0.103,0.049,0.078,0.101,0
Mmab,0.054,0.089,0.059,0.03,0.04,0.03,0.063,0.06,0.031,0.015,0.032,0.045,0.149,0
Mmachc,0.099,0.059,0.045,0.02,0.016,0.031,0.026,0.04,0.038,0.035,0.016,0.088,0.036,0
Mmadhc,0.422,0.565,0.308,0.267,0.243,0.494,0.427,0.445,0.323,0.54,0.431,0.441,0.449,0.781
Mmd,0.35,0.076,0.49,0.803,0.546,0.087,0.751,0.213,0.04,0.149,0.152,0.412,0.079,1.147
Mmd2,0.087,0,0,0.003,0.003,0.001,0.011,0.04,0,0.005,0.005,0,0.79,0
Mme,0.805,0.033,0.038,0.03,0.028,0.116,3.254,1.142,0.049,0.253,0.329,0,0.055,0
Mmgt1,0,0.19,0.088,0.106,0.047,0.18,0.073,0.05,0.116,0.09,0.002,0.122,0.153,0.282
Mmgt2,0.092,0.301,0.166,0.09,0.21,0.251,0.273,0.278,0.073,0.283,0.15,0.352,0.053,0.118
Mmp11,0.098,0.009,0.056,0.047,0.014,0.057,0.422,0.405,0.088,0.087,0.028,0.725,0.053,0
Mmp12,0,0,0,0,0,0,0.002,0.01,0,0.002,0.001,0,0,0
Mmp13,44.094,0.176,0.081,0.189,0.205,0.236,3.566,59.715,0.115,11.865,2.924,0.14,0,0
Mmp14,2.627,0.455,0.223,0.926,1.085,0.666,1.336,3.478,0.265,4.119,1.593,1.269,0,0.267
Mmp15,0.068,0.009,0.388,0.528,0.141,0.004,0.015,0.009,0,0.018,0.006,0.086,0.098,0
Mmp16,0.195,0.088,0.009,0.002,0.002,0.069,0.023,0.442,0,0.133,1.024,0.016,0,0
Mmp17,0.062,0.007,0.013,0.011,0.016,0.007,0.033,0.064,0,0.005,0,0.093,0,0.154
Mmp19,0.057,0.009,0.006,0.02,0.02,0.076,0.147,0.077,0.037,0.068,0.006,0.047,0.025,0
Mmp2,1.902,0.515,0.127,0.238,0.027,2.611,0.211,2.358,0.815,10.154,5.518,0.342,0.044,0.809
Mmp23,0.786,0.073,0.015,0.017,0.026,0.238,2.187,1.347,0.066,1.097,1.528,0.183,0.081,0
Mmp24,0,0.001,0,0.006,0.001,0.004,0.004,0.002,0,0.002,0.001,0,0,0
Mmp25,0,0.001,0,0.009,0.003,0.001,0.001,0.001,0,0,0.004,0,0.01,0
Mmp28,0,0.008,0.017,0.009,0.008,0.035,0.015,0.015,0,0.024,0.011,0.014,0,0
Mmp3,0,1.174,0.028,0.014,0.009,0.373,0.009,0.009,0.046,5.376,0.005,0.107,0,0.136
Mmp8,0,0.004,0.006,0.006,0.002,0.004,0.002,0.007,0.016,0.003,0.005,0,0,0
Mmp9,0.506,0.022,0.012,0.01,0.005,0.005,0.028,0.454,0.008,0.08,0.006,0.028,0,0
Mmrn1,0.373,0.007,0.51,0.189,1.318,0.004,0.015,0.01,0,0.001,0.005,0,0,0
Mmrn2,1.272,0.068,3.895,3.909,5.984,0.035,0.075,0.07,0.047,0.05,0.013,0.176,0,0.147
Mms19,0.079,0.076,0.173,0.15,0.117,0.079,0.124,0.092,0.098,0.067,0.055,0.129,0.105,0.136
Mms22l,0.155,0.032,0.009,0.044,0.028,0.021,0.017,0.022,0.041,0.015,0.012,0.031,0.047,0
Mn1,0.035,0.707,0.199,0.58,0.127,1.67,0.081,0.025,0.108,0.528,0.003,0.069,0.257,0
Mnat1,0.83,0.347,0.377,0.359,0.299,0.304,0.541,0.562,0.533,0.401,0.237,0.606,0.428,0.406
Mnd1,0.082,0.038,0.044,0.019,0.023,0.103,0.044,0.039,0.104,0.048,0.008,2.606,0,0.193
Mnda,0.161,0.004,0.06,0.079,0.087,0.116,0.492,0.176,0.016,0.109,0.002,0.072,0,0
Mndal,0.539,0.021,2.205,2.042,1.164,0.1,0.446,0.125,0.008,0.086,0.008,0.782,0,0.724
Mns1,0.536,0.062,0.019,0.025,0.019,0.022,0.037,0.039,0.018,0.017,0.018,0.087,0.009,0
Mnt,0.034,0.085,0.153,0.143,0.121,0.071,0.14,0.109,0.116,0.106,0.046,0.188,0.071,0.361
Mob1a,0.605,0.327,0.603,0.619,0.659,0.478,0.465,0.408,0.241,0.403,0.221,0.605,0.112,0
Mob1b,0.228,0.127,0.272,0.298,0.334,0.156,0.243,0.195,0.094,0.186,0.104,0.252,0.018,0.808
Mob2,0.354,0.377,1.097,1.009,0.507,0.99,0.385,0.348,0.381,0.464,0.323,1.482,0.247,2.337
Mob3a,0.068,0.104,0.203,0.097,0.085,0.118,0.104,0.078,0.18,0.105,0.052,0.079,0.291,0
Mob3b,0.159,0.003,0.033,0.012,0.003,0.026,0.073,0.141,0,0.02,0.118,0.064,0.667,0
Mob3c,0.287,0.199,0.245,0.457,0.432,0.203,0.246,0.173,0.759,0.134,0.173,0.273,0.136,0.254
Mob4,0.75,0.519,1.157,1.123,0.697,0.593,0.836,0.715,0.918,0.662,0.404,1.091,0.358,0.749
Mobp,0,0,0,0.004,0.001,0.011,0.007,0.012,0.021,0,0.001,0,27.39,0
Mocos,0.064,0.004,0.046,0.017,0.015,0.035,0.073,0.026,0,0.028,0.006,0.047,0,0
Mocs1,0.208,0.033,0.111,0.098,0.093,0.038,0.262,0.132,0.064,0.054,0.038,0.069,0.04,0.172
Mocs2,1.013,0.432,0.766,0.859,0.65,0.729,1.105,1.073,0.633,0.724,0.43,0.988,0.65,0
Mocs3,0.014,0.059,0.04,0.061,0.041,0.065,0.063,0.064,0.069,0.052,0.069,0.078,0.134,0
Mog,0,0.021,0,0.001,0.001,0.004,0.005,0.012,0.007,0,0,0,26.385,0
Mogat1,0,0,0,0.003,0.001,0.003,0.003,0.005,0.017,0,0.001,0.014,0.034,0
Mogat2,0,0.001,0.014,0.002,0.001,0.002,0.001,0,0,0,0.002,0,0,0
Mogs,0.147,0.282,0.046,0.126,0.145,0.149,0.198,0.224,0.176,0.124,0.181,0.08,0.129,0
Mok,0,0.022,0.019,0.008,0.002,0.018,0.006,0.002,0,0.021,0.001,0.022,0.031,0
Mon1a,0.184,0.058,0.144,0.107,0.073,0.083,0.096,0.083,0.075,0.074,0.092,0.1,0.134,0
Mon1b,0.094,0.052,0.038,0.048,0.059,0.071,0.073,0.068,0.009,0.05,0.025,0.104,0.087,0
Mon2,0.275,0.257,0.208,0.179,0.225,0.206,0.259,0.203,0.096,0.159,0.212,0.284,0.136,0.277
Morc2a,0.225,0.097,0.129,0.162,0.154,0.071,0.17,0.165,0.012,0.072,0.064,0.175,0.05,0.132
Morc3,0.329,0.119,0.294,0.222,0.241,0.118,0.212,0.252,0.164,0.134,0.093,0.179,0.155,0.289
Morc4,0,0.035,0.109,0.055,0.177,0.111,0.028,0.011,0.009,0.055,0.01,0.163,0.023,0.22
Morf4l1,6.416,6.637,5.495,6.256,5.811,6.923,5.976,5.581,4.459,7.385,4.963,7.173,8.915,6.381
Morf4l2,0,3.792,1.847,1.244,0.766,2.852,1.09,1.177,3.109,2.262,0.476,2.681,1.468,2.646
Morn1,0,0.035,0.025,0.014,0.016,0.028,0.018,0.019,0.018,0.027,0.032,0.047,0.062,0
Morn2,0.089,0.423,0.171,0.073,0.064,0.216,0.087,0.073,0.136,0.174,0.074,0.16,0.136,0.147
Morn3,0,0.001,0,0.003,0.001,0.001,0,0,0,0.001,0,0,0,0
Morn4,0.014,0.037,0,0.002,0.002,0.005,0.004,0.007,0.009,0.054,0.004,0,0.127,0
Morn5,0,0.013,0.011,0.004,0.001,0.003,0.001,0.004,0,0,0.001,0,0,0
Mospd1,0,0.132,0.571,0.444,0.22,0.206,0.263,0.249,0.163,0.176,0.01,0.395,0.165,0.545
Mospd2,0,0.129,0.525,0.245,0.17,0.111,0.087,0.056,0.109,0.08,0.006,0.16,0.185,0
Mospd3,0.53,0.482,0.531,0.538,0.471,0.525,0.557,0.593,0.164,0.599,0.288,0.722,0.277,0.382
Mov10,0.049,0.021,0.071,0.065,0.038,0.017,0.116,0.066,0,0.019,0.012,0.045,0,0
Moxd1,0,0.15,0.102,0.025,0.001,0.011,0.009,0.002,0,0.013,0.002,0.022,0,0.147
Mpc1,1.229,2.325,1.111,0.879,0.763,1.916,1.474,1.66,2.127,2.148,1.504,2.511,8.571,2.306
Mpc2,1.453,1.744,1.246,1.055,1.067,2.073,2.454,1.981,1.722,2.06,1.256,2.19,2.661,1.496
Mpdu1,0.453,0.245,0.439,0.468,0.582,0.213,0.473,0.438,0.161,0.35,0.385,0.259,0.426,0.136
Mpdz,0.271,0.096,0.164,0.235,0.282,0.197,1.488,0.372,0.183,0.175,0.037,0.348,0.123,0.293
Mpeg1,0,0.002,0,0,0.003,0.002,0.006,0.004,0.009,0.002,0.004,0,0,0
Mpg,0.283,0.236,0.073,0.325,0.164,0.224,0.381,0.371,0.149,0.26,0.226,0.362,0.111,0.084
Mphosph10,0.291,0.24,0.237,0.214,0.141,0.23,0.238,0.302,0.932,0.224,0.154,0.263,0.328,0.378
Mphosph6,0.417,0.48,0.126,0.235,0.181,0.28,0.269,0.303,0.292,0.326,0.406,0.471,0.37,1.223
Mphosph8,0.636,0.461,0.618,0.595,0.541,0.376,0.485,0.474,0.304,0.394,0.186,0.35,0.528,0.194
Mphosph9,0.165,0.049,0.023,0.075,0.075,0.025,0.055,0.039,0.053,0.026,0.021,0.117,0.059,0
Mpi,0.127,0.065,0.06,0.085,0.064,0.05,0.08,0.106,0.041,0.082,0.145,0.108,0.066,0
Mpl,0.036,0.002,0,0.007,0.005,0.001,0.004,0.002,0,0,0,0.016,0,0
Mplkip,0.49,0.51,0.385,0.455,0.411,0.302,0.492,0.412,0.353,0.397,0.247,0.629,0.085,0.616
Mpnd,0.577,0.424,0.572,0.465,0.445,0.642,0.378,0.742,0.551,0.692,0.992,0.842,0.66,0.671
Mpo,0.151,0.026,0.008,0.048,0.054,0.025,0.051,0.104,0,0.306,0.546,0.004,0,0
Mpp1,0,0.207,0.472,0.33,0.358,0.291,0.137,0.125,0.241,0.191,0.003,0.273,0.062,0
Mpp2,0.128,0.009,0,0.072,0.255,0.01,0.052,0.031,0.026,0.024,0.017,0.441,0.218,0.316
Mpp3,0,0.001,0.048,0.039,0.01,0.002,0.014,0.003,0,0.002,0.001,0.016,0.015,0
Mpp4,0,0,0.02,0,0.002,0,0.002,0,0,0.002,0,0,0,0
Mpp5,0.135,0.133,0.177,0.184,0.226,0.137,0.117,0.105,0.251,0.156,0.096,0.153,0.471,0
Mpp6,0.407,1.042,0.179,0.086,0.085,1.295,0.424,0.809,0.426,1.305,0.149,0.143,0,0.6
Mpp7,0.054,0.071,0.133,0.057,0.052,0.168,0.052,0.029,0.097,0.072,0.036,0.079,0,0.232
Mppe1,0.005,0.02,0.011,0.013,0.014,0.018,0.015,0.022,0.011,0.017,0.032,0,0.021,0
Mpped2,0.066,0.368,0.053,0.016,0.01,0.07,0.48,0.34,0.068,0.387,0.128,0.26,0,0
Mprip,1.299,0.75,1.376,1.376,1.474,0.913,1.431,1.257,0.656,0.814,0.433,4.258,0.522,1.87
Mpst,0.231,0.2,0.261,0.27,0.313,0.428,0.104,0.149,1.517,0.195,0.135,0.321,1.133,0.75
Mpv17,0.401,0.248,0.553,0.519,0.572,0.557,0.647,0.54,0.681,0.467,0.263,0.584,0.544,1.276
Mpv17l,0.117,0.044,0.003,0.014,0.112,0.022,0.067,0.074,0.039,0.049,0.191,0.052,0.159,0
Mpv17l2,0.259,0.322,0.338,0.329,0.24,0.414,0.561,0.315,0.212,0.366,0.178,0.71,0.716,1.374
Mpz,0.072,0.001,0,0,0.001,0.003,0.002,0.002,0.343,0.002,0.003,0,0,0.129
Mpzl1,0.88,0.892,0.923,3.024,1.251,0.751,1.322,1.426,0.288,1.201,0.725,0.373,1.569,0.337
Mpzl2,0,0.076,0.004,0,0,0.007,0,0.002,0.081,0.081,0.001,0.012,0.017,0
Mpzl3,0.014,0.035,0.023,0.007,0.003,0.017,0.007,0.003,0,0.019,0.005,0.036,0,0.172
Mr1,0.081,0.058,0.097,0.111,0.07,0.086,0.167,0.165,0.096,0.107,0.053,0.104,0,0.382
Mrap,0.014,0.043,0.026,0,0.001,0.002,0.187,0.031,0,0.007,0.001,0.024,0.011,0
Mras,0.133,0.527,0.513,0.159,0.142,0.479,0.383,0.183,0.031,0.324,0.068,0.265,0.157,0
Mrc1,1.765,0.024,0.036,0.841,5.762,0.009,0.063,0.042,0,0.017,0.005,0.03,0,0
Mrc2,0.654,0.253,0.01,0.009,0.012,0.469,0.388,0.912,0.233,0.748,0.898,0.128,0,0.143
Mre11a,0.212,0.059,0.061,0.041,0.068,0.058,0.071,0.07,0.072,0.058,0.04,0.027,0.055,0.123
Mreg,0,0.002,0,0.015,0.003,0.002,0.006,0.01,0,0.008,0.022,0,0,0
Mrfap1,4.556,5.579,4.074,4.334,3.596,4.309,3.929,4.839,3.622,5.028,2.821,5.194,5.633,1.541
Mrgbp,0.1,0.123,0.128,0.151,0.138,0.096,0.149,0.114,0.074,0.093,0.064,0.255,0.182,0
Mrgpre,0.043,0.016,0.057,0.05,0.006,0.022,0.102,0.123,0,0.036,0.006,0.046,0.029,0
Mrgprf,0.027,0.189,0.014,0.002,0.001,0.472,0.003,0.002,0.062,0.473,0.01,0.485,0,0.245
Mri1,0.414,0.145,0.146,0.162,0.155,0.135,0.203,0.222,0.255,0.19,0.16,0.17,0.115,0
Mrm1,0.039,0.037,0.093,0.047,0.029,0.084,0.063,0.053,0.024,0.093,0.028,0.031,0.102,0
Mro,0.006,0.02,0,0,0.005,0.002,0.284,0.058,0,0.004,0.001,0,0,0
Mroh1,0.055,0.049,0.047,0.108,0.131,0.066,0.096,0.068,0.039,0.044,0.017,0.059,0.032,0.147
Mroh2a,0,0.002,0,0,0.003,0.001,0.001,0,0,0,0.001,0,0,0
Mroh7,0,0.001,0,0.006,0.079,0,0,0,0,0.003,0.001,0,0,0
Mroh8,0,0.002,0,0.002,0,0.002,0.001,0.001,0.013,0,0,0,0,0
Mrpl1,0.093,0.085,0.165,0.122,0.129,0.106,0.134,0.125,0.22,0.105,0.082,0.186,0.183,0
Mrpl10,0.292,0.259,0.352,0.255,0.226,0.249,0.268,0.314,0.174,0.275,0.24,0.219,0.322,0.428
Mrpl11,0.257,0.484,0.453,0.441,0.427,0.321,0.432,0.473,0.188,0.327,0.346,0.379,0.516,0.194
Mrpl12,1.17,1.075,0.997,0.884,0.767,0.821,0.686,0.888,0.681,0.843,0.589,0.965,0.918,1.406
Mrpl13,0.787,0.409,0.347,0.396,0.339,0.559,0.512,0.562,0.413,0.572,0.239,0.533,0.414,0.88
Mrpl14,1.517,1.125,0.957,0.873,0.734,1.311,1.287,1.067,0.511,1.185,1.012,1.083,0.83,0.135
Mrpl15,0.46,0.487,0.853,0.657,0.409,0.509,0.486,0.613,0.303,0.543,0.291,0.655,0.588,0.71
Mrpl16,0.041,0.195,0.222,0.15,0.12,0.152,0.138,0.189,0.078,0.166,0.127,0.127,0.083,0
Mrpl17,1.066,2.339,1.06,1.329,0.918,1.225,0.778,0.938,0.87,1.21,1.125,0.849,0.995,1.02
Mrpl18,1.792,1.026,0.844,0.833,0.684,1.041,1.033,1.06,0.301,0.964,0.707,0.965,1.1,1.185
Mrpl19,0.247,0.21,0.19,0.227,0.148,0.191,0.224,0.252,0.146,0.191,0.133,0.189,0.227,0.497
Mrpl2,0.405,0.442,0.595,0.432,0.402,0.48,0.372,0.365,0.3,0.415,0.227,0.588,0.538,1.309
Mrpl20,1.526,1.732,1.531,1.453,1.13,1.608,1.449,1.534,1.174,1.729,1.537,1.805,1.95,1.614
Mrpl21,0.682,0.536,0.542,0.527,0.396,0.494,0.484,0.667,0.686,0.537,0.398,0.553,0.336,0.82
Mrpl22,0.202,0.231,0.313,0.283,0.23,0.271,0.333,0.316,0.215,0.276,0.175,0.384,0.159,0.084
Mrpl23,2.091,1.394,1.364,1.231,1.163,1.456,1.277,1.789,2.315,1.459,0.992,1.868,1.555,1.782
Mrpl24,1.164,0.761,1.202,1.18,0.958,0.802,0.829,0.94,1.055,0.816,0.59,0.731,0.867,0.267
Mrpl27,0.886,0.679,0.733,0.748,0.483,0.681,0.807,0.709,0.506,0.701,0.509,0.739,0.632,1.474
Mrpl28,0.987,0.619,0.736,0.645,0.594,0.745,0.81,0.847,1.048,0.68,0.525,0.928,1.549,0.848
Mrpl3,0.424,0.171,0.165,0.259,0.257,0.198,0.234,0.271,0.179,0.208,0.164,0.245,0.223,0
Mrpl30,1.063,1.47,1.211,0.995,1.172,1.359,0.89,1.104,1.377,1.153,0.965,1.057,0.829,1.274
Mrpl32,0.51,0.522,0.851,0.534,0.39,0.487,0.521,0.581,0.599,0.496,0.283,0.711,0.516,0.457
Mrpl33,2.58,2.185,2.367,2.112,1.501,2.605,1.828,2.099,2.419,2.383,1.661,2.132,1.478,2.538
Mrpl34,0.879,0.733,0.89,0.885,0.618,0.584,0.737,0.803,0.172,0.614,0.541,0.764,0.534,0
Mrpl35,0.454,0.359,0.523,0.384,0.312,0.411,0.402,0.44,0.461,0.461,0.248,0.509,0.496,0.622
Mrpl36,0.481,0.815,0.819,0.726,0.642,0.759,0.799,0.901,0.597,0.69,0.526,0.891,0.516,0.341
Mrpl37,0.192,0.238,0.279,0.228,0.196,0.224,0.205,0.227,0.263,0.21,0.185,0.161,0.174,0.786
Mrpl38,0.412,0.348,0.462,0.634,0.695,0.358,0.486,0.345,0.453,0.338,0.184,0.415,0.361,0.425
Mrpl39,0.262,0.168,0.297,0.211,0.132,0.196,0.17,0.183,0.221,0.159,0.129,0.107,0.348,0.132
Mrpl4,0.817,0.627,0.976,0.846,0.634,0.749,0.686,0.65,0.574,0.642,0.399,1.036,0.364,0.55
Mrpl40,0.478,0.414,0.516,0.378,0.265,0.607,0.387,0.419,0.404,0.485,0.216,0.409,0.801,0.714
Mrpl41,0.58,0.644,0.49,0.441,0.432,0.482,0.588,0.604,0.478,0.56,0.305,0.612,0.999,0.538
Mrpl42,1.426,1.631,1.539,1.037,0.79,1.46,1.17,1.463,1.307,1.288,0.903,1.46,1.341,3.085
Mrpl43,0.524,0.653,0.816,0.793,0.511,0.676,0.666,0.668,0.254,0.732,0.603,0.638,0.834,0.449
Mrpl44,0.191,0.157,0.294,0.243,0.172,0.145,0.203,0.182,0.12,0.145,0.124,0.214,0.114,0
Mrpl45,0.395,0.257,0.26,0.226,0.336,0.183,0.223,0.261,0.275,0.221,0.148,0.216,0.374,0.172
Mrpl46,0.302,0.159,0.304,0.231,0.165,0.189,0.188,0.181,0.112,0.157,0.143,0.215,0.463,0.123
Mrpl47,0.193,0.094,0.091,0.096,0.076,0.109,0.124,0.122,0.132,0.098,0.094,0.103,0.193,0.311
Mrpl48,0.921,0.824,0.631,0.57,0.526,0.719,0.741,0.754,1.071,0.822,0.575,0.669,2.352,0.726
Mrpl49,0.525,0.267,0.392,0.354,0.258,0.271,0.322,0.325,0.189,0.322,0.207,0.352,0.141,0.434
Mrpl50,0.436,0.28,0.3,0.267,0.278,0.321,0.308,0.335,0.404,0.313,0.192,0.264,0.394,0.11
Mrpl51,1.792,1.082,1.11,0.975,0.903,1.095,1.152,1.108,0.371,0.924,0.647,1.298,1.122,1.642
Mrpl52,4.034,3.052,2.303,2.916,3.906,2.002,2.611,3.74,2.622,2.42,2.39,2.033,0.424,1.63
Mrpl53,0.036,0.003,0.013,0.007,0.003,0.001,0.007,0.014,0.018,0.013,0.022,0,0.056,0
Mrpl54,0.71,1.774,1.074,0.825,0.856,1.1,0.881,1.066,0.671,1.36,1.081,1.032,0.959,1.1
Mrpl55,0.423,0.597,0.607,0.567,0.486,0.55,0.495,0.459,0.371,0.55,0.259,0.682,0.727,1.051
Mrpl57,0.708,1.504,0.812,0.944,0.713,0.939,0.66,0.93,0.66,1.003,0.863,0.899,0.555,0.698
Mrpl9,0.311,0.197,0.354,0.347,0.361,0.261,0.298,0.33,0.178,0.258,0.204,0.331,0.11,0.469
Mrps10,0.412,0.304,0.366,0.272,0.237,0.279,0.38,0.409,0.504,0.322,0.24,0.157,0.533,0.681
Mrps11,0.477,0.186,0.389,0.392,0.309,0.264,0.342,0.388,0.366,0.336,0.268,0.4,0.513,0.325
Mrps12,0.657,0.918,0.742,0.731,0.733,0.878,0.882,0.877,0.43,0.794,0.598,0.935,0.957,0.949
Mrps14,2.052,1.556,1.428,1.3,1.144,1.39,1.347,1.519,1.934,1.425,1.18,1.602,0.957,1.647
Mrps15,0.508,0.559,0.565,0.487,0.402,0.604,0.639,0.554,0.491,0.444,0.36,0.705,0.575,0.468
Mrps16,0.904,1.334,0.953,0.802,0.616,0.975,1.084,1.238,0.588,1.108,1,1.063,0.732,0.839
Mrps17,1.178,0.766,0.575,0.666,0.503,0.854,0.849,0.945,0.806,0.808,0.6,0.986,0.773,0.827
Mrps18a,0.592,0.666,0.584,0.57,0.501,0.592,0.581,0.636,0.737,0.614,0.431,0.962,0.723,0.698
Mrps18b,0.085,0.292,0.243,0.166,0.164,0.259,0.266,0.286,0.483,0.233,0.218,0.328,0.41,0
Mrps18c,0.615,0.495,0.771,0.671,0.517,0.652,0.731,0.707,0.373,0.529,0.455,0.576,1.307,1.042
Mrps2,0.048,0.093,0.119,0.052,0.055,0.057,0.074,0.09,0.03,0.058,0.057,0.08,0.077,0
Mrps21,2.622,1.957,1.876,1.728,1.755,1.94,1.989,2.382,1.065,2.274,1.804,1.921,1.581,3.046
Mrps22,0.125,0.074,0.098,0.053,0.055,0.102,0.119,0.147,0.111,0.114,0.067,0.103,0.143,0.168
Mrps23,0.392,0.444,0.4,0.428,0.346,0.434,0.368,0.347,0.247,0.425,0.248,0.545,0.349,0.616
Mrps24,1.251,1.636,1.656,1.858,1.506,1.63,1.41,1.381,0.96,1.518,0.886,1.863,1.373,1.502
Mrps25,0.432,0.52,0.39,0.307,0.255,0.422,0.446,0.5,0.229,0.45,0.284,0.391,0.478,0
Mrps26,0.621,0.595,0.512,0.566,0.51,0.554,0.846,0.81,0.414,0.58,0.535,1.011,0.577,0.809
Mrps27,0.064,0.048,0.102,0.089,0.063,0.049,0.075,0.077,0.167,0.051,0.051,0.12,0.175,0.3
Mrps28,0.581,0.945,0.51,0.441,0.391,0.609,0.741,0.831,1.22,0.884,1.091,0.67,0.564,1.015
Mrps30,0.197,0.211,0.331,0.223,0.205,0.236,0.237,0.184,0.225,0.171,0.161,0.266,0.401,0.084
Mrps31,0.221,0.077,0.12,0.113,0.094,0.125,0.154,0.15,0.177,0.103,0.064,0.171,0.245,0.157
Mrps33,1.648,1.377,1.227,1.376,1.432,1.332,1.591,1.786,1.341,1.306,1.111,0.805,3.254,1.984
Mrps34,0.347,0.486,0.488,0.448,0.453,0.473,0.621,0.591,0.294,0.551,0.657,0.524,0.492,0.283
Mrps35,0.272,0.182,0.215,0.181,0.212,0.202,0.237,0.241,0.223,0.254,0.121,0.284,0.172,0
Mrps36,0.693,0.995,0.647,0.588,0.307,0.878,1.087,0.924,0.559,0.822,0.474,1.09,0.949,1.221
Mrps5,0.378,0.302,0.506,0.536,0.404,0.341,0.381,0.452,0.405,0.336,0.238,0.484,0.383,0.446
Mrps6,0.294,1.284,0.485,0.438,0.436,0.242,1.896,0.495,0.293,0.498,0.088,1.249,0.466,0.135
Mrps7,0.71,0.58,0.69,0.506,0.462,0.498,0.549,0.538,0.559,0.579,0.381,0.748,0.991,0.584
Mrps9,0.364,0.157,0.324,0.288,0.24,0.212,0.24,0.282,0.303,0.182,0.132,0.226,0.171,0.65
Mrrf,0.169,0.294,0.69,0.385,0.54,0.199,0.168,0.192,0.291,0.147,0.1,0.216,0.165,0.123
Mrs2,0.064,0.045,0.045,0.065,0.044,0.043,0.035,0.05,0.066,0.049,0.037,0.07,0.051,0
Mrto4,0.366,0.337,0.242,0.274,0.212,0.316,0.219,0.379,0.962,0.28,0.22,0.225,0.327,0.154
Mrvi1,0.022,0.012,0,0.001,0.011,0.004,0.003,0.014,0,0.005,0,1.17,0.041,1.279
Ms4a1,0.005,0.003,0,0,0.002,0.001,0.004,0.004,0,0.006,0.002,0.024,0,0
Ms4a2,0,0.001,0,0.001,0.001,0.002,0,0,0,0,0.001,0,0,0
Ms4a3,0.02,0.008,0.008,0.007,0.007,0.006,0.01,0.015,0,0.037,0.076,0.004,0,0
Ms4a4b,0,0,0,0.002,0.008,0.001,0.029,0.004,0,0.002,0.003,0,0,0
Ms4a4c,0,0.001,0,0.001,0.001,0,0.002,0.002,0,0.004,0.003,0,0,0
Ms4a4d,0.139,0.009,0,0.021,0.016,0.061,2.19,0.496,0.346,0.03,0.002,0.065,0.019,0
Ms4a6b,0.011,0,0,0.028,0.025,0.001,0.004,0.001,0,0.003,0.006,0,0,0
Ms4a6c,0.027,0.001,0,0.005,0.004,0.003,0.007,0.008,0.02,0.012,0.017,0,0,0
Ms4a6d,0,0,0,0.026,0.005,0,0.001,0,0,0,0.001,0,0,0
Ms4a8a,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0
Msantd1,0,0.004,0,0.003,0.004,0.004,0.008,0.006,0.009,0.002,0.003,0.003,0,0
Msantd2,0.046,0.132,0.202,0.238,0.189,0.138,0.186,0.133,0.153,0.132,0.044,0.261,0.07,0
Msantd3,0.17,0.093,0.108,0.145,0.095,0.09,0.115,0.133,0.116,0.168,0.112,0.248,0.127,0.256
Msantd4,0.194,0.142,0.202,0.353,0.287,0.173,0.133,0.154,0.025,0.171,0.078,0.129,0.197,0.457
Msc,0,0.003,0,0.012,0.002,0.042,0.322,0.097,3.334,0.046,0.004,0,0.082,0.11
Msh2,0.177,0.067,0.237,0.124,0.151,0.067,0.101,0.1,0.15,0.077,0.034,0.138,0.182,0
Msh3,0.145,0.072,0.114,0.088,0.101,0.065,0.138,0.135,0.078,0.06,0.113,0.136,0.075,0
Msh4,0,0.005,0,0.001,0,0.001,0.001,0,0,0,0,0,0,0
Msh5,0.133,0.013,0.006,0.125,0.047,0.014,0.014,0.013,0.013,0.016,0.009,0,0.016,0
