gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
C230021G24Rik,0,0,0,0,0,0.001,0.001,0.005,0,0.004,0,0.012,0,0
C230035I16Rik,0.112,0.022,0.023,0.02,0.043,0.022,0.083,0.064,0.026,0.032,0.011,0.038,0.022,0
C230037L18Rik,0.205,0.004,0.093,0.112,0.126,0.007,0.023,0.015,0.014,0.008,0.004,0.015,0.174,0
C2cd2,0.186,0.027,0.162,0.298,0.357,0.051,0.134,0.065,0.08,0.058,0.028,0.64,0.098,0.11
C2cd2l,0.037,0.075,0.19,0.193,0.133,0.09,0.055,0.058,0.068,0.092,0.078,0.114,0.174,0
C2cd3,0.13,0.057,0.096,0.101,0.11,0.067,0.053,0.07,0.051,0.057,0.036,0.044,0.048,0.264
C2cd4a,0,0.005,0,0,0,0.001,0,0.003,0,0.005,0.023,0,0,0
C2cd4b,0,0.088,0.007,0,0.003,0.004,0.003,0.002,0.014,0.012,0.001,0,0.01,0
C2cd4c,0,0,0,0,0,0.001,0,0,0,0.001,0.009,0,0,0
C2cd4d,0,0.028,0,0,0,0.008,0.005,0.003,0,0.01,0.003,0.002,0,0
C2cd5,0.192,0.111,0.07,0.062,0.063,0.096,0.096,0.09,0.08,0.128,0.062,0.19,0.131,0
C3,0.34,0.01,0.002,0.009,0.037,0.553,2.461,0.402,0.058,0.184,0.025,0.025,0.03,0
C330002G04Rik,0,0,0,0,0.003,0,0.004,0.002,0,0,0,0.004,0,0
C330006A16Rik,0.602,0.364,0.363,0.479,0.408,0.273,0.419,0.479,0.461,0.339,0.246,0.683,0.683,0.673
C330007P06Rik,0,0.119,0.18,0.262,0.183,0.187,0.163,0.093,0.246,0.101,0.009,0.349,0.303,0.421
C330011M18Rik,0.015,0.021,0.006,0.015,0.012,0.01,0.019,0.012,0,0.007,0.007,0.004,0,0
C330013E15Rik,0.038,0.033,0.024,0.049,0.051,0.022,0.037,0.04,0.014,0.031,0.018,0.017,0.021,0
C330013J21Rik,0,0.002,0,0,0,0,0.002,0.003,0,0,0.002,0,0.023,0
C330018A13Rik,0,0.001,0,0.002,0.008,0.001,0.001,0.005,0,0.006,0,0,0,0
C330018D20Rik,0.12,0.078,0.046,0.077,0.054,0.064,0.174,0.106,0.021,0.058,0.031,0.095,0.155,0
C330027C09Rik,0.858,0.031,0.017,0.027,0.012,0.013,0.011,0.031,0.018,0.017,0.005,0.02,0,0
C430042M11Rik,0,0.009,0.021,0.002,0.003,0.006,0.013,0.013,0,0.006,0.005,0,0,0
C4b,0.745,0.262,0.048,0.052,0.075,0.471,4.328,1.131,0.151,0.164,0.057,0.11,0.522,0.147
C530008M17Rik,0.055,0.09,0,0.006,0.006,0.008,0.002,0.001,0.018,0.012,0.004,0.047,0.037,0
C530044C16Rik,0,0.001,0,0,0,0.004,0,0,0,0,0,0.053,0,0
C530050E15Rik,0,0.001,0,0,0,0,0,0.002,0,0.001,0.002,0,0,0
C5ar1,0.108,0.014,0,0.072,0.706,0.007,0.041,0.019,0,0.182,0.002,0,0,0
